Designator,Mid X,Mid Y,Rotation,Layer
S1,232.956474,-213.635325,180.0,top
S10,61.956474,-213.635325,180.0,top
S11,232.956474,-194.635325,180.0,top
S12,213.956474,-194.635325,180.0,top
S13,194.956474,-194.635325,180.0,top
S14,175.956474,-194.635325,180.0,top
S15,156.956474,-194.635325,180.0,top
S16,137.956474,-194.635325,180.0,top
S17,118.956474,-194.635325,180.0,top
S18,99.956474,-194.635325,180.0,top
S19,80.956474,-194.635325,180.0,top
S2,213.956474,-213.635325,180.0,top
S20,61.956474,-194.635325,180.0,top
S21,232.956474,-175.635325,180.0,top
S22,213.956474,-175.635325,180.0,top
S23,194.956474,-175.635325,180.0,top
S24,175.956474,-175.635325,180.0,top
S25,156.956474,-175.635325,180.0,top
S26,137.956474,-175.635325,180.0,top
S27,118.956474,-175.635325,180.0,top
S28,99.956474,-175.635325,180.0,top
S29,80.956474,-175.635325,180.0,top
S3,194.956474,-213.635325,180.0,top
S30,61.956474,-175.635325,180.0,top
S31,232.956474,-156.635325,180.0,top
S32,213.956474,-156.635325,180.0,top
S33,194.956474,-156.635325,180.0,top
S34,175.956474,-156.635325,180.0,top
S35,156.956474,-156.635325,180.0,top
S36,137.956474,-156.635325,180.0,top
S37,118.956474,-156.635325,180.0,top
S38,99.956474,-156.635325,180.0,top
S39,80.956474,-156.635325,180.0,top
S4,175.956474,-213.635325,180.0,top
S40,61.956474,-156.635325,180.0,top
S5,156.956474,-213.635325,180.0,top
S6,137.956474,-213.635325,180.0,top
S7,118.956474,-213.635325,180.0,top
S8,99.956474,-213.635325,180.0,top
S9,80.956474,-213.635325,180.0,top
