Designator,Mid X,Mid Y,Rotation,Layer
S1,233.354246,-121.203927,180.0,top
S10,62.354246,-121.203927,180.0,top
S11,233.354246,-102.203927,180.0,top
S12,214.354246,-102.203927,180.0,top
S13,195.354246,-102.203927,180.0,top
S14,176.354246,-102.203927,180.0,top
S15,157.354246,-102.203927,180.0,top
S16,138.354246,-102.203927,180.0,top
S17,119.354246,-102.203927,180.0,top
S18,100.354246,-102.203927,180.0,top
S19,81.354246,-102.203927,180.0,top
S2,214.354246,-121.203927,180.0,top
S20,62.354246,-102.203927,180.0,top
S21,233.354246,-83.203927,180.0,top
S22,214.354246,-83.203927,180.0,top
S23,195.354246,-83.203927,180.0,top
S24,176.354246,-83.203927,180.0,top
S25,157.354246,-83.203927,180.0,top
S26,138.354246,-83.203927,180.0,top
S27,119.354246,-83.203927,180.0,top
S28,100.354246,-83.203927,180.0,top
S29,81.354246,-83.203927,180.0,top
S3,195.354246,-121.203927,180.0,top
S30,62.354246,-83.203927,180.0,top
S31,233.354246,-64.203927,180.0,top
S32,214.354246,-64.203927,180.0,top
S33,195.354246,-64.203927,180.0,top
S34,176.354246,-64.203927,180.0,top
S35,157.354246,-64.203927,180.0,top
S36,138.354246,-64.203927,180.0,top
S37,119.354246,-64.203927,180.0,top
S38,100.354246,-64.203927,180.0,top
S39,81.354246,-64.203927,180.0,top
S4,176.354246,-121.203927,180.0,top
S40,62.354246,-64.203927,180.0,top
S5,157.354246,-121.203927,180.0,top
S6,138.354246,-121.203927,180.0,top
S7,119.354246,-121.203927,180.0,top
S8,100.354246,-121.203927,180.0,top
S9,81.354246,-121.203927,180.0,top
