Designator,Mid X,Mid Y,Rotation,Layer
BT1,156.5,-47.0,90.0,top
D1,76.5,-50.15,90.0,top
D10,103.5,-50.15,90.0,top
D11,116.5,-50.15,90.0,top
D12,119.5,-50.15,90.0,top
D13,122.5,-50.15,90.0,top
D14,125.5,-50.15,90.0,top
D15,128.5,-50.15,90.0,top
D16,131.5,-50.15,90.0,top
D17,134.5,-50.15,90.0,top
D18,137.5,-50.15,90.0,top
D19,140.5,-50.15,90.0,top
D2,79.5,-50.15,90.0,top
D20,143.5,-50.15,90.0,top
D21,116.5,-53.15,270.0,top
D22,119.5,-53.15,270.0,top
D23,122.5,-53.15,270.0,top
D24,125.5,-53.15,270.0,top
D25,128.5,-53.15,270.0,top
D26,131.5,-53.15,270.0,top
D27,134.5,-53.15,270.0,top
D28,137.5,-53.15,270.0,top
D29,140.5,-53.15,270.0,top
D3,82.5,-50.15,90.0,top
D30,143.5,-53.15,270.0,top
D31,76.5,-53.15,270.0,top
D32,79.5,-53.15,270.0,top
D33,82.5,-53.15,270.0,top
D34,85.5,-53.15,270.0,top
D35,88.5,-53.15,270.0,top
D36,91.5,-53.15,270.0,top
D37,94.5,-53.15,270.0,top
D38,97.5,-53.15,270.0,top
D39,100.5,-53.15,270.0,top
D4,85.5,-50.15,90.0,top
D40,103.5,-53.15,270.0,top
D5,88.5,-50.15,90.0,top
D6,91.5,-50.15,90.0,top
D7,94.5,-50.15,90.0,top
D8,97.5,-50.15,90.0,top
D9,100.5,-50.15,90.0,top
S1,49.525,-73.475,0.0,top
S10,220.525,-73.475,0.0,top
S11,49.525,-92.475,0.0,top
S12,68.525,-92.475,0.0,top
S13,87.525,-92.475,0.0,top
S14,106.525,-92.475,0.0,top
S15,125.525,-92.475,0.0,top
S16,144.525,-92.475,0.0,top
S17,163.525,-92.475,0.0,top
S18,182.525,-92.475,0.0,top
S19,201.525,-92.475,0.0,top
S2,68.525,-73.475,0.0,top
S20,220.525,-92.475,0.0,top
S21,49.525,-111.475,0.0,top
S22,68.525,-111.475,0.0,top
S23,87.525,-111.475,0.0,top
S24,106.525,-111.475,0.0,top
S25,125.525,-111.525,0.0,top
S26,144.525,-111.475,0.0,top
S27,163.525,-111.475,0.0,top
S28,182.525,-111.475,0.0,top
S29,201.525,-111.475,0.0,top
S3,87.525,-73.475,0.0,top
S30,220.525,-111.475,0.0,top
S31,49.525,-130.475,0.0,top
S32,68.525,-130.475,0.0,top
S33,87.525,-130.475,0.0,top
S34,106.525,-130.475,0.0,top
S35,125.475,-130.475,0.0,top
S36,144.525,-130.475,0.0,top
S37,163.525,-130.475,0.0,top
S38,182.525,-130.475,0.0,top
S39,201.525,-130.475,0.0,top
S4,106.528937,-73.465,0.0,top
S40,220.525,-130.475,0.0,top
S5,125.525,-73.475,0.0,top
S6,144.525,-73.475,0.0,top
S7,163.525,-73.475,0.0,top
S8,182.525,-73.475,0.0,top
S9,201.525,-73.475,0.0,top
SW1,227.0,-54.0,90.0,top
SW2,156.0,-55.5,0.0,top
U1,57.8,-51.65,90.0,top
